date,num_pos,rate_pos
06-01,667,3.50
06-02,617,6.60
06-03,1317,4.23
06-04,1419,5.43
06-05,1305,4.68
06-06,1270,3.24
06-07,1180,2.81
06-08,966,5.25
06-09,1096,4.61
06-10,1371,6.62
06-11,1698,6.12
06-12,1902,7.52
06-13,2581,7.48
06-14,2016,5.22
06-15,1758,8.30
06-16,2783,9.24
06-17,2610,10.25
06-18,3207,12.55
06-19,3822,17.33
06-20,4049,14.26
06-21,3494,9.18
06-22,2926,16.07
06-23,3286,14.10
06-24,5511,19.97
06-25,5004,9.55
06-26,8942,18.53
06-27,9585,15.79
06-28,8530,16.26
06-29,5266,17.04
06-30,6093,18.83
07-01,6563,18.54
07-02,10109,14.59
07-03,9488,19.26
07-04,11458,17.55
07-05,10069,18.71
07-06,6336,18.72
07-07,7347,20.80
07-08,9989,19.54
07-09,8935,23.99
07-10,11343,17.8
07-11,10274,19.3
07-12,15135,15.5
07-13,12624,19.2
07-14,9194,20.1
07-15,10181,20.0
07-16,13965,17.5
07-17,11466,17.6
07-18,10328,20.1
07-19,12478,17.6
07-20,10347,20.8
07-21,9440,19.8
07-22,9785,17.8
07-23,10249,18.2
07-24,12444,18.9
07-25,12180,20.4
07-26,9344,18.6
07-27,8892,19.8
07-28,9230,18.9
07-29,9446,20.3
07-30,9956,19.0
07-31,9007,18.4
08-01,9642,18.8
08-02,7104,17.1
08-03,4752,14.9
08-04,5446,17.2
08-05,5409,17.8
08-06,7587,18.0
08-07,7686,19.4
08-08,8502,17.4
08-09,6229,15.7
08-10,4155,14.7
08-11,5831,16.5
08-12,8109,21.2
08-13,6236,18.1
08-14,6146,23.9
08-15,6352,15.07
